Copyright (C) 2006-2011
Gaia Data Processing and Analysis Consortium

THIS IS AN AUTOMATICALLY GENERATED FILE - DO NOT EDIT!

The file has been automatically generated from the contents of the
Gaia Parameter Database at the URL
    http://gaia.esac.esa.int/gpdb
Version -live (r.231494)-2012-05-18T04:59:16

Please report any problems arising from the usage of this file to
the Gaia Librarian gaialib@rssd.esa.int

Name,Value,Unit,Basic,Scalar,Description,Source,Expression,LaTeX label,Last modified
NatureA0VStar_RMinI,-0.01,mag,false,true,"Cousins R minus I (R-I) magnitude of an unreddened A0V star. The passbands are taken from M.S. Bessell, 1990, 'UBVRI passbands', PASP, 102, 1181","","A0VStar_VMinI - A0VStar_VMinR","(R-I)_0",2008-06-23T14:00:00
NatureA0VStar_CalibrationFlux_Nu,3.693e-23,W m^-2 Hz^-1,false,true,"Flux f_{0\nu} of an unreddened A0V star with V = 0 mag at the wavelength \lambda_0 (see also J.H.J. de Bruijne, 26 May 2003, 'Stellar fluxes: transformations and calibrations', GAIA-JdB-005, revision 1)","","1.0E-9 * A0VStar_CalibrationWavelength * A0VStar_CalibrationWavelength * A0VStar_CalibrationFlux_Lambda / VelocityOfLight_Constant_Vacuum","f_{0\nu}(\lambda_0)",2006-03-01T09:00:00
NatureA0VStar_CalibrationFlux_NumberOfPhotons,101336775.3749,photons s^-1 m^-2 nm^-1,false,true,"Photon flux N_{0\lambda}(\lambda_0) of an unreddened A0V star with V = 0 mag at the wavelength \lambda_0 (see also J.H.J. de Bruijne, 26 May 2003, 'Stellar fluxes: transformations and calibrations', GAIA-JdB-005, revision 1). Note that the parameter A0VStar_Spectrum_NumberOfPhotons refers to Pickles' star number 009, and not to the Kurucz/ATLAS9 Vega spectrum which has been used for flux normalisation/calibration and zero-point definition; the parameter A0VStar_Spectrum_NumberOfPhotons therefore does not precisely have A0VStar_CalibrationFlux photons s^-1 m^-2 nm^-1 at \lambda_0 = A0VStar_CalibrationWavelength","","A0VStar_CalibrationFlux_Nu / (Planck_Constant * A0VStar_CalibrationWavelength)","N_{0\lambda}(\lambda_0)",2012-02-02T17:00:00
NatureA0VStar_CalibrationFunction_Normalisation,8827167090.0551,photons s^-1 m^-2,false,true,"Calibration (function) normalisation constant N_0. This constant can be used to define the zero point of the Johnson V magnitude scale by imposing the requirement that, for any stellar photon flux density N_\lambda (in photons s^-1 m^-2 nm^-1 above the Earth's atmosphere) with V = 0 mag, the integral from 470 to 700 nm (the support interval of the Johnson V band) of N_\lambda times S_V(\lambda) equals N_0 photons s^-1 m^-2. The function S_V(\lambda) and the normalisation constant N_0 depend on the definition of the shape of the Johnson V band, on the monochromatic calibration flux f_{0\lambda} (or f_{0\nu}) at \lambda_0, and on the spectrum f_{0\nu}(\lambda) of the general unreddened A0V star. The number 6.62606876E-34 refers to the 'CODATA 1998 value' of the Planck constant (parameter Planck_Constant)","J.H.J. de Bruijne, 26 May 2003, 'Stellar fluxes: transformations and calibrations', GAIA-JdB-005, revision 1, Appendix D","8827168169.1271 * (6.62606876E-34 / Planck_Constant)","N_0",2012-02-02T17:00:00
NatureAberration_Constant_J2000,20.49122,arcsec,false,true,"Constant of aberration, nowadays irrelevant as a fundamental constant, at the standard epoch J2000.0. The IAU (1976) System of Astronomical Constants (e.g., T. Lederle, 1980, MitAG, 48, 59, Table 1) lists 20.49552 arcsec","P.K. Seidelmann, 1992, 'Explanatory Supplement to the Astronomical Almanac', University Science Books, Mill Valley, Ca., ISBN 0-935702-68-7, Equation 3.253-4, page 131","180 * 3600 * Earth_OrbitalSpeed_Mean / (Pi_Constant * VelocityOfLight_Constant_Vacuum)","\kappa",2006-03-01T09:00:00
NatureArcsecond_Radian,4.84813681109536e-6,rad,false,true,"One arcsecond in units of radians","","Pi_Constant / (180 * 3600)","",2006-11-20T16:00:00
NatureAsteroid1Ceres_LightDeflection_Limb,1,10^-6 arcsec,false,true,"Post-Newtonian deflection angle of a limb-grazing light ray due to the spherically symmetric part of the gravitational field of 1 Ceres","S.A. Klioner, 2003, 'A Practical Relativistic Model for Microarcsecond Astrometry in Space', AJ, 125, 1580, Equation 64 with cot(x) = cos(x) / sin(x) approximated by x^-1; see also J.H.J. de Bruijne, 19 February 2002, 'Gravitational light deflection', GAIA-JdB-001","1.0E6 * 180 * 3600 * 2 * 2 * (1 + PPN_Gamma) * INPOP06:Asteroid1CeresMass_SolarMass * Sun_GM / (VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum * 1.0E3 * Asteroid1Ceres_Diameter * Pi_Constant)","\delta_{\rm pN}",2006-03-01T09:00:00
NatureAsteroid1Ceres_PerihelionDistance_B1950,2.553,AU,false,true,"Perihelion distance of 1 Ceres (epoch 1 October 1989). The orbital elements are referenced to the B1950 equinox and ecliptic","","Asteroid1Ceres_OrbitalSemiMajorAxis_B1950 * (1 - Asteroid1Ceres_OrbitalEccentricity_B1950)","q",2006-03-01T09:00:00
NatureAsteroid2Pallas_LightDeflection_Limb,0,10^-6 arcsec,false,true,"Post-Newtonian deflection angle of a limb-grazing light ray due to the spherically symmetric part of the gravitational field of 2 Pallas","S.A. Klioner, 2003, 'A Practical Relativistic Model for Microarcsecond Astrometry in Space', AJ, 125, 1580, Equation 64 with cot(x) = cos(x) / sin(x) approximated by x^-1; see also J.H.J. de Bruijne, 19 February 2002, 'Gravitational light deflection', GAIA-JdB-001","1.0E6 * 180 * 3600 * 2 * 2 * (1 + PPN_Gamma) * INPOP06:Asteroid2PallasMass_SolarMass * Sun_GM / (VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum * 1.0E3 * Asteroid2Pallas_Diameter * Pi_Constant)","\delta_{\rm pN}",2006-03-01T09:00:00
NatureAsteroid2Pallas_PerihelionDistance_B1950,2.120,AU,false,true,"Perihelion distance of 2 Pallas (epoch 1 October 1989). The orbital elements are referenced to the B1950 equinox and ecliptic","","Asteroid2Pallas_OrbitalSemiMajorAxis_B1950 * (1 - Asteroid2Pallas_OrbitalEccentricity_B1950)","q",2006-03-01T09:00:00
